"package","version","symbol","status"
"LibeRation","0.9.0","nm_re_block","evolving"
"LibeRation","0.9.0","nm_re_config","evolving"
"LibeRation","0.9.0","nm_arma_config","evolving"
"LibeRation","0.9.0","nm_hsmm_config","evolving"
"LibeRation","0.9.0","nm_factorial_chain","experimental"
"LibeRation","0.9.0","nm_factorial_hmm_config","experimental"
"LibeRation","0.9.0","nm_hmm_decode","evolving"
"LibeRation","0.9.0","nm_experimental_config","experimental"
"LibeRation","0.9.0","nm_dde_config","experimental"
"LibeRation","0.9.0","nm_dae_config","experimental"
"LibeRation","0.9.0","nm_component","experimental"
"LibeRation","0.9.0","nm_component_code","experimental"
"LibeRation","0.9.0","nm_qsp_system","experimental"
"LibeRation","0.9.0","nm_qsp_model","experimental"
"LibeRation","0.9.0","nm_individual_fit","evolving"
"LibeRation","0.9.0","nm_model","stable-contract"
"LibeRation","0.9.0","nm_model_contract_fields","evolving"
"LibeRation","0.9.0","nm_model_from_contract","stable-contract"
"LibeRation","0.9.0","nm_model_to_contract","stable-contract"
"LibeRation","0.9.0","nm_model_template","evolving"
"LibeRation","0.9.0","nm_structural_templates","evolving"
"LibeRation","0.9.0","nm_piecewise","evolving"
"LibeRation","0.9.0","nm_spline","evolving"
"LibeRation","0.9.0","nm_model_outputs","evolving"
"LibeRation","0.9.0","nm_model_diagram","evolving"
"LibeRation","0.9.0","nm_diagram_preview","evolving"
"LibeRation","0.9.0","nm_diagram_generate","evolving"
"LibeRation","0.9.0","nm_model_diagram_get","evolving"
"LibeRation","0.9.0","nm_report_block","evolving"
"LibeRation","0.9.0","nm_report_design","evolving"
"LibeRation","0.9.0","nm_report_design_save","evolving"
"LibeRation","0.9.0","nm_report_design_load","evolving"
"LibeRation","0.9.0","nm_report_design_render","evolving"
"LibeRation","0.9.0","nm_model_cpp","evolving"
"LibeRation","0.9.0","nm_mixture","evolving"
"LibeRation","0.9.0","nm_mixture_posterior","evolving"
"LibeRation","0.9.0","nm_npc","evolving"
"LibeRation","0.9.0","nm_npde","evolving"
"LibeRation","0.9.0","nm_objective","evolving"
"LibeRation","0.9.0","nm_ode_tape_benchmark","evolving"
"LibeRation","0.9.0","nm_prediction_derivatives","evolving"
"LibeRation","0.9.0","nm_project_create","evolving"
"LibeRation","0.9.0","nm_project_copy","evolving"
"LibeRation","0.9.0","nm_project_delete","evolving"
"LibeRation","0.9.0","nm_project_delete_snapshot","evolving"
"LibeRation","0.9.0","nm_project_list","evolving"
"LibeRation","0.9.0","nm_project_load","evolving"
"LibeRation","0.9.0","nm_project_save","evolving"
"LibeRation","0.9.0","nm_project_save_run","evolving"
"LibeRation","0.9.0","nm_project_save_diagnostics","evolving"
"LibeRation","0.9.0","nm_project_load_diagnostics","evolving"
"LibeRation","0.9.0","nm_prior","evolving"
"LibeRation","0.9.0","nm_report","evolving"
"LibeRation","0.9.0","nm_profile","evolving"
"LibeRation","0.9.0","nm_scm","evolving"
"LibeRation","0.9.0","nm_simulate","stable-contract"
"LibeRation","0.9.0","nm_tape_profile","evolving"
"LibeRation","0.9.0","nm_vpc","evolving"
"LibeRation","0.9.0","nm_vpc_categorical","evolving"
"LibeRation","0.9.0","nm_vpc_competing","evolving"
"LibeRation","0.9.0","nm_vpc_count","evolving"
"LibeRation","0.9.0","nm_vpc_recurrent","evolving"
"LibeRation","0.9.0","nm_vpc_tte","evolving"
"LibeRation","0.9.0","nm_validation_gate","evolving"
"LibeRation","0.9.0","nm_support_matrix","stable-contract"
"LibeRation","0.9.0","nm_workspace","evolving"
"LibeRation","0.9.0","nm_workspace_backup","evolving"
"LibeRation","0.9.0","nm_workspace_gc","evolving"
"LibeRation","0.9.0","nm_workspace_migrate","evolving"
"LibeRation","0.9.0","nm_workspace_verify","evolving"
"LibeRary","0.7.5","ingest_adjudicate_extractions","evolving"
"LibeRary","0.7.5","ingest_assess_model","evolving"
"LibeRary","0.7.5","ingest_classify_entry","evolving"
"LibeRary","0.7.5","ingest_compare_extractions","evolving"
"LibeRary","0.7.5","ingest_default_query","evolving"
"LibeRary","0.7.5","ingest_deliberative_extract","evolving"
"LibeRary","0.7.5","ingest_discover","evolving"
"LibeRary","0.7.5","ingest_docling_available","evolving"
"LibeRary","0.7.5","ingest_docling_parse","evolving"
"LibeRary","0.7.5","ingest_document_bundle","evolving"
"LibeRary","0.7.5","ingest_download_pdf","evolving"
"LibeRary","0.7.5","ingest_dual_extract","evolving"
"LibeRary","0.7.5","ingest_entrez_count","evolving"
"LibeRary","0.7.5","ingest_entrez_fetch_metadata","evolving"
"LibeRary","0.7.5","ingest_entrez_search","evolving"
"LibeRary","0.7.5","ingest_europe_pmc_lookup","evolving"
"LibeRary","0.7.5","ingest_extract_batch","evolving"
"LibeRary","0.7.5","ingest_extract_model","evolving"
"LibeRary","0.7.5","ingest_extract_text_lane","evolving"
"LibeRary","0.7.5","ingest_extract_vision_lane","evolving"
"LibeRary","0.7.5","ingest_fetch_institutional","evolving"
"LibeRary","0.7.5","ingest_find_supplements","evolving"
"LibeRary","0.7.5","ingest_generate_fetch_script","evolving"
"LibeRary","0.7.5","ingest_gui_worker","evolving"
"LibeRary","0.7.5","ingest_latest_manifest","evolving"
"LibeRary","0.7.5","ingest_load_config","evolving"
"LibeRary","0.7.5","ingest_make_logger","evolving"
"LibeRary","0.7.5","ingest_map_to_ctl","evolving"
"LibeRary","0.7.5","ingest_ollama_available","evolving"
"LibeRary","0.7.5","ingest_ollama_chat","evolving"
"LibeRary","0.7.5","ingest_parse_llm_json","evolving"
"LibeRary","0.7.5","ingest_pdf_text","evolving"
"LibeRary","0.7.5","ingest_pmc_oa_lookup","evolving"
"LibeRary","0.7.5","ingest_pmc_pdf_url","evolving"
"LibeRary","0.7.5","ingest_process_batch","evolving"
"LibeRary","0.7.5","ingest_publish_catalog_entry","evolving"
"LibeRary","0.7.5","ingest_read_document_bundle","evolving"
"LibeRary","0.7.5","ingest_read_manifest","evolving"
"LibeRary","0.7.5","ingest_read_progress","evolving"
"LibeRary","0.7.5","ingest_render_pdf_pages","evolving"
"LibeRary","0.7.5","ingest_shiny","evolving"
"LibeRary","0.7.5","ingest_stub_extraction","evolving"
"LibeRary","0.7.5","ingest_triage_abstract","evolving"
"LibeRary","0.7.5","ingest_triage_batch","evolving"
"LibeRary","0.7.5","ingest_unpaywall_lookup","evolving"
"LibeRary","0.7.5","ingest_validate_config","evolving"
"LibeRary","0.7.5","ingest_write_manifest","evolving"
"LibeRary","0.7.5","ingest_write_progress","evolving"
"LibeRary","0.7.5","library_catalog_root","stable-contract"
"LibeRary","0.7.5","library_config_path","evolving"
"LibeRary","0.7.5","library_dosing_normalize","evolving"
"LibeRary","0.7.5","library_get","stable-contract"
"LibeRary","0.7.5","library_home","evolving"
"LibeRary","0.7.5","library_image_message","evolving"
"LibeRary","0.7.5","library_infer_implementation","evolving"
"LibeRary","0.7.5","library_ingest_shiny","evolving"
"LibeRary","0.7.5","library_job","evolving"
"LibeRary","0.7.5","library_list","stable-contract"
"LibeRary","0.7.5","library_llm_available","evolving"
"LibeRary","0.7.5","library_llm_chat","evolving"
"LibeRary","0.7.5","library_llm_models","evolving"
"LibeRary","0.7.5","library_llm_providers","evolving"
"LibeRary","0.7.5","library_model","stable-contract"
"LibeRary","0.7.5","library_model_enrich","evolving"
"LibeRary","0.7.5","library_population_normalize","evolving"
"LibeRary","0.7.5","library_provenance","evolving"
"LibeRary","0.7.5","library_qualification_check","evolving"
"LibeRary","0.7.5","library_reference_benchmark","evolving"
"LibeRary","0.7.5","library_reference_build","evolving"
"LibeRary","0.7.5","library_reference_compare","evolving"
"LibeRary","0.7.5","library_reference_get","evolving"
"LibeRary","0.7.5","library_reference_list","evolving"
"LibeRary","0.7.5","library_reference_release_gate","evolving"
"LibeRary","0.7.5","library_reference_revise","evolving"
"LibeRary","0.7.5","library_reference_run","evolving"
"LibeRary","0.7.5","library_reference_shiny","evolving"
"LibeRary","0.7.5","library_reference_training_export","evolving"
"LibeRary","0.7.5","library_reference_training_files","evolving"
"LibeRary","0.7.5","library_reference_validate","evolving"
"LibeRary","0.7.5","library_repository_wipe","evolving"
"LibeRary","0.7.5","library_reproduction_plan","evolving"
"LibeRary","0.7.5","library_reproduction_run","evolving"
"LibeRary","0.7.5","library_reproduction_score","evolving"
"LibeRary","0.7.5","library_review","evolving"
"LibeRary","0.7.5","library_save_config","evolving"
"LibeRary","0.7.5","library_search","stable-contract"
"LibeRary","0.7.5","library_shiny","evolving"
"LibeRary","0.7.5","library_source_pdf","evolving"
"LibeRary","0.7.5","library_use_in_workspace","evolving"
"LibeRary","0.7.5","library_validate","stable-contract"
"LibeRary","0.7.5","library_worker_task","evolving"
"LibeRator","0.2.6","lator_assess","stable-contract"
"LibeRator","0.2.6","lator_covariate_at","evolving"
"LibeRator","0.2.6","lator_endpoint","evolving"
"LibeRator","0.2.6","lator_endpoint_aed","evolving"
"LibeRator","0.2.6","lator_endpoint_atg","evolving"
"LibeRator","0.2.6","lator_endpoint_beta_lactam","evolving"
"LibeRator","0.2.6","lator_endpoint_evaluate","evolving"
"LibeRator","0.2.6","lator_endpoint_library","evolving"
"LibeRator","0.2.6","lator_endpoint_register","evolving"
"LibeRator","0.2.6","lator_endpoint_validate","evolving"
"LibeRator","0.2.6","lator_example_aed","evolving"
"LibeRator","0.2.6","lator_gui","evolving"
"LibeRator","0.2.6","lator_job","evolving"
"LibeRator","0.2.6","lator_model_from_liberary","evolving"
"LibeRator","0.2.6","lator_model_register","evolving"
"LibeRator","0.2.6","lator_patient_add_event","stable-contract"
"LibeRator","0.2.6","lator_patient_add_events","evolving"
"LibeRator","0.2.6","lator_patient_get","stable-contract"
"LibeRator","0.2.6","lator_patient_list","evolving"
"LibeRator","0.2.6","lator_patient_new","stable-contract"
"LibeRator","0.2.6","lator_patient_save","stable-contract"
"LibeRator","0.2.6","lator_regimen_candidates","stable-contract"
"LibeRator","0.2.6","lator_regimen_optimise","stable-contract"
"LibeRator","0.2.6","lator_regimen_predict","stable-contract"
"LibeRator","0.2.6","lator_workspace","evolving"
"LibeRator","0.2.6","lator_workspace_audit","evolving"
"LibeRator","0.2.6","lator_worker_task","evolving"
"LibeRator","0.2.6","liberatorWorkbenchOutput","evolving"
"LibeRator","0.2.6","liberator_workbench","evolving"
"LibeRator","0.2.6","renderLiberatorWorkbench","evolving"
"LibeRality","0.2.3","liberality_gui","evolving"
"LibeRality","0.2.3","liberality_workbench","evolving"
"LibeRality","0.2.3","liberalityWorkbenchOutput","evolving"
"LibeRality","0.2.3","renderLiberalityWorkbench","evolving"
"LibeRality","0.2.3","lity_arm","evolving"
"LibeRality","0.2.3","lity_constraint","evolving"
"LibeRality","0.2.3","lity_contract_restore","evolving"
"LibeRality","0.2.3","lity_constraint_check","evolving"
"LibeRality","0.2.3","lity_criterion","evolving"
"LibeRality","0.2.3","lity_criterion_A","evolving"
"LibeRality","0.2.3","lity_criterion_D","evolving"
"LibeRality","0.2.3","lity_criterion_Ds","evolving"
"LibeRality","0.2.3","lity_criterion_E","evolving"
"LibeRality","0.2.3","lity_criterion_bayesian","evolving"
"LibeRality","0.2.3","lity_criterion_burden","evolving"
"LibeRality","0.2.3","lity_criterion_c","evolving"
"LibeRality","0.2.3","lity_criterion_compound","evolving"
"LibeRality","0.2.3","lity_criterion_correct_dose","evolving"
"LibeRality","0.2.3","lity_criterion_cost","evolving"
"LibeRality","0.2.3","lity_criterion_discrimination","evolving"
"LibeRality","0.2.3","lity_criterion_expected_utility","evolving"
"LibeRality","0.2.3","lity_criterion_L","evolving"
"LibeRality","0.2.3","lity_criterion_maximin","evolving"
"LibeRality","0.2.3","lity_criterion_minimax","evolving"
"LibeRality","0.2.3","lity_criterion_model_average","evolving"
"LibeRality","0.2.3","lity_criterion_pareto","evolving"
"LibeRality","0.2.3","lity_criterion_power","evolving"
"LibeRality","0.2.3","lity_criterion_precision_probability","evolving"
"LibeRality","0.2.3","lity_criterion_prediction","evolving"
"LibeRality","0.2.3","lity_criterion_robust","evolving"
"LibeRality","0.2.3","lity_criterion_rse","evolving"
"LibeRality","0.2.3","lity_criterion_target","evolving"
"LibeRality","0.2.3","lity_design","stable-contract"
"LibeRality","0.2.3","lity_endpoint","evolving"
"LibeRality","0.2.3","lity_endpoint_from_liberator","evolving"
"LibeRality","0.2.3","lity_evaluate","stable-contract"
"LibeRality","0.2.3","lity_example","evolving"
"LibeRality","0.2.3","lity_external_validate","evolving"
"LibeRality","0.2.3","lity_external_validation_fixtures","evolving"
"LibeRality","0.2.3","lity_external_validation_report","evolving"
"LibeRality","0.2.3","lity_information","evolving"
"LibeRality","0.2.3","lity_job","evolving"
"LibeRality","0.2.3","lity_model_from_liberary","evolving"
"LibeRality","0.2.3","lity_operating_characteristics","evolving"
"LibeRality","0.2.3","lity_optimise","stable-contract"
"LibeRality","0.2.3","lity_pareto","evolving"
"LibeRality","0.2.3","lity_population","evolving"
"LibeRality","0.2.3","lity_report","evolving"
"LibeRality","0.2.3","lity_scenario","evolving"
"LibeRality","0.2.3","lity_schedule","evolving"
"LibeRality","0.2.3","lity_simulate_trials","evolving"
"LibeRality","0.2.3","lity_to_liberation","stable-contract"
"LibeRality","0.2.3","lity_validate","stable-contract"
"LibeRality","0.2.3","lity_variable","evolving"
"LibeRality","0.2.3","lity_worker_task","evolving"
"LibeRties","0.7.3","LibeRQueue","evolving"
"LibeRties","0.7.3","LibeRRemote","evolving"
"LibeRties","0.7.3","LibeRServer","evolving"
"LibeRties","0.7.3","ls_api","evolving"
"LibeRties","0.7.3","ls_admin_gui","evolving"
"LibeRties","0.7.3","ls_audit_read","evolving"
"LibeRties","0.7.3","ls_job","stable-contract"
"LibeRties","0.7.3","ls_generate_storage_key","evolving"
"LibeRties","0.7.3","ls_library_job","evolving"
"LibeRties","0.7.3","ls_job_decode","stable-contract"
"LibeRties","0.7.3","ls_job_encode","stable-contract"
"LibeRties","0.7.3","ls_job_from_wire","evolving"
"LibeRties","0.7.3","ls_job_manifest","evolving"
"LibeRties","0.7.3","ls_job_to_wire","evolving"
"LibeRties","0.7.3","ls_local_queue","evolving"
"LibeRties","0.7.3","ls_queue_capabilities","evolving"
"LibeRties","0.7.3","ls_remote","evolving"
"LibeRties","0.7.3","ls_result_decode","stable-contract"
"LibeRties","0.7.3","ls_result_encode","stable-contract"
"LibeRties","0.7.3","ls_result_from_wire","evolving"
"LibeRties","0.7.3","ls_result_to_wire","evolving"
"LibeRties","0.7.3","ls_run_api","evolving"
"LibeRties","0.7.3","ls_run_admin","evolving"
"LibeRties","0.7.3","ls_security_policy","stable-contract"
"LibeRties","0.7.3","ls_server","evolving"
"LibeRties","0.7.3","ls_server_preflight","stable-contract"
"LibeRties","0.7.3","ls_user_create","evolving"
"LibeRties","0.7.3","ls_user_delete","evolving"
"LibeRties","0.7.3","ls_user_list","evolving"
"LibeRties","0.7.3","ls_user_rotate_token","evolving"
"LibeRties","0.7.3","ls_user_update","evolving"
